date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:24	3533/3533	---M--	200	added ('OK')	image/png	etag:%225ca6f634-dcd%22	https://cdn.playerzpot.com//images/Rakshit-Chopra.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/Rakshit-Chopra.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:25	3223/3223	---M--	200	added ('OK')	image/png	etag:%225ca6f60e-c97%22	https://cdn.playerzpot.com//images/Supriyo-Das.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/Supriyo-Das.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:25	3314/3314	---M--	200	added ('OK')	image/png	etag:%225ca1aed6-cf2%22	https://cdn.playerzpot.com//images/test-2.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/test-2.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:25	3531/3531	---M--	200	added ('OK')	image/png	etag:%225ca1aeea-dcb%22	https://cdn.playerzpot.com//images/test-3.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/test-3.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:25	3129/3129	---M--	200	added ('OK')	image/png	etag:%225ca1aeb4-c39%22	https://cdn.playerzpot.com//images/test-1.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/test-1.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:26	4118/4118	---M--	200	added ('OK')	image/png	etag:%225ca1aeff-1016%22	https://cdn.playerzpot.com//images/test-4.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/test-4.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:31	11192/11192	---M--	200	added ('OK')	image/png	etag:%225d5a8742-2bb8%22	https://cdn.playerzpot.com//images/suraj-kumar.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/suraj-kumar.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:32	8417/8417	---M--	200	added ('OK')	image/png	etag:%225d5a8764-20e1%22	https://cdn.playerzpot.com//images/arjun-singh.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/arjun-singh.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:33	30735/30735	---M--	200	added ('OK')	image/png	etag:%225cde86f9-780f%22	https://cdn.playerzpot.com//images/transfr-detail.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/transfr-detail.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:35	3785/3785	---M--	200	added ('OK')	image/png	etag:%225ef1a2f9-ec9%22	https://cdn.playerzpot.com//images/fifs-latest-image.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/fifs-latest-image.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:35	25876/25876	---M--	200	added ('OK')	image/png	etag:%225d6f924d-6514%22	https://cdn.playerzpot.com//images/spl-newc.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/spl-newc.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:35	34256/34256	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:35%20GMT	https://playerzpot.com/aboutus	C:/Users/Real11/Desktop/test/playerzpot.com/aboutus.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:38	98640/98640	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:35%20GMT	https://playerzpot.com/fantasy-baseball-app-download	C:/Users/Real11/Desktop/test/playerzpot.com/fantasy-baseball-app-download.html	(from https://playerzpot.com/fantasy-sports-app-download)
